,colonia,precio por metro cuadrado,ID
0,Olivar de los Padres,43712,11347
1,Paseo de las Lomas,52415,11213
2,Las Águilas,54178,11326
3,San Angel,58081,11065
4,Guadalupe Inn,59274,11067
5,Tizapan,49560,11084
6,Jardines del Pedregal,60222,11371
7,Los Alpes,62694,11066
8,Santa Fe,57503,11139
9,Colina del Sur,32435,11230
10,Atlamaya,59632,11343
11,Merced Gómez,51768,11291
12,San Clemente Norte,35053,11334
13,Alcantarilla,39049,11328
14,Torres de Potrero,46197,11361
15,Cooperativa Unión Olivos,32857,11264
16,Santa Lucia,42152,11242
17,San Pedro de los Pinos,46328,11131
18,Lomas de San Ángel Inn,46093,11352
19,San Jerónimo Aculco,47401,12430
20,Carola,40926,11133
21,Ex-Hacienda de Guadalupe Chimalistac,14767,11074
22,Corpus Christi,24018,11259
23,Ampliación Las Aguilas,35901,11339
24,Estado de Hidalgo,37722,11252
25,San Clemente Sur,28268,11332
26,Lomas de los Angeles del Pueblo Tetelpan,40368,11350
27,Lomas de San Ángel,39744,11352
28,Tetelpan,40136,11319
29,Flor de Maria,52514,11344
30,Ampliación Alpes,62952,11325
31,Tizampampano del Pueblo Tetelpan,38903,11348
32,Santa María Nonoalco,34918,11229
33,San José del Olivar,41455,11346
34,Ampliación Piloto Adolfo López Mateos,61974,11206
35,La Estrella,30000,11168
36,Cuevitas,31387,11146
37,Delegación Política AO,47384,0
38,La Otra Banda,51326,11085
39,Ex-Hacienda de Tarango,36140,11295
40,Torres de San Pedro,34310,0
41,Molino de Rosas,29042,11238
42,San Angel Inn,47374,11076
43,Campestre,51722,11070
44,Heron Proal,20000,11305
45,Progreso Tizapan,45262,11078
46,Alfonso XIII,37324,11236
47,Puente Colorado,32027,11329
48,Sacramento,41335,11228
49,2a Del Moral del Pueblo de Tetelpan,28571,11317
50,Los Cedros,40265,11249
51,Lomas de Axomiatla,37214,11358
52,Universal,39259,0
53,Ampliación La Mexicana,69444,11175
54,Ejido San Mateo,59579,11282
55,Reacomodo Valentín Gómez Farías,50000,11273
56,Garcimarrero,33496,11250
57,Villa Verdún,45002,11357
58,Ocotillos del Pueblo Tetelpan,48465,11315
59,Lomas de Plateros,29165,11239
60,La Herradura del Pueblo Tetelpan,53922,11341
61,El Cuernito,32564,11147
62,Axotla,46789,11068
63,Florida,49874,11069
64,Las Aguilas 1a Sección,51105,11335
65,Tolteca,41740,11121
66,Lomas de Puerta Grande,41667,11304
67,Lomas de Tarango,40528,11297
68,El Capulín,38740,11099
69,Lomas de Santo Domingo,39213,11089
70,Ermita Tizapan,44771,11081
71,La Peñita del Pueblo Tetelpan,45713,11333
72,San Bartolo Ameyalco,31492,11355
73,Tarango,28333,11293
74,Chimalistac,46114,11077
75,Rancho San Francisco del Pbo San Bartolo Ameyalco,44015,11356
76,Barrio Norte,18108,11225
77,Loreto,64044,11086
78,Miguel Hidalgo,57778,11351
79,Torres de Mixcoac,47159,11241
80,Santa Fe IMSS,20946,11130
81,19 de Mayo,49123,11217
82,8 de Agosto,58511,11132
83,Arcos Centenario,39171,11294
84,Pedregal,44224,11371
85,Tetlalpan,47499,11246
86,Las Aguilas 3er Parque,60000,11337
