,colonia,precio por metro cuadrado,ID
0,Ampliación Del Gas,38392.0,0
1,Santa Cruz de las Salinas,40008.0,11424
2,San Miguel Amantla,37307.0,11457
3,San Francisco Tetecala,29712.0,11466
4,Coltongo,31811.0,11451
5,Nextengo,35369.0,0
6,Del Gas,37007.0,11487
7,Providencia,29972.0,0
8,San Pedro Xalpa,33538.0,11459
9,Angel Zimbron,32770.0,11391
10,Libertad,16921.0,11380
11,Santa Ines,34778.0,11410
12,Nueva Santa Maria,30961.0,11473
13,Un Hogar Para Cada Trabajador,37710.0,11382
14,Cosmopolita,35257.0,11455
15,San Isidro,34091.0,0
16,Clavería,34903.0,11388
17,San Marcos,22102.0,11377
18,San Álvaro,26443.0,11390
19,Prados del Rosario,30655.0,11429
20,Euzkadi,18906.0,11454
21,Ampliación Cosmopolita,29826.0,0
22,Ex Hacienda El Rosario,24154.0,0
23,Del Recreo,28466.0,0
24,San Andrés,23266.0,11418
25,Aguilera,10349.0,11482
26,Tlatilco,37782.0,11479
27,San Sebastián,30114.0,0
28,Delegación Política,28748.0,0
29,El Jagüey,28352.0,0
30,El Rosario,22092.0,0
31,San Antonio,32732.0,11464
32,Santa Bárbara,19349.0,11416
33,Industrial San Antonio,35243.0,11468
34,Aldana,30454.0,11483
35,San Juan Tlihuaca,27683.0,11427
36,Santo Tomas,33515.0,0
37,Hogares Ferrocarrileros,31613.0,11448
38,San Martín Xochinahuac,22013.0,11402
39,Presidente Madero,22384.0,11434
40,San Francisco Xocotitla,39273.0,11488
41,Santa Apolonia,16945.0,0
42,Liberación,30612.0,11485
43,Tezozomoc,22281.0,11438
44,Los Reyes,25733.0,0
45,Santa Maria Malinalco,20870.0,0
46,Arenal,31359.0,0
47,Petrolera,24871.0,11441
48,Ampliación San Pedro Xalpa,22324.0,0
49,Obrero Popular,28663.0,11478
50,Pasteros,20283.0,11411
51,Sindicato Mexicano de Electricistas,32202.0,11384
52,Ampliación Petrolera,41066.0,0
53,Industrial Vallejo,18334.0,11420
54,Huautla de las Salinas,,11423
55,San Pablo Xalpa,23370.0,11399
56,San Bartolo Cahualtongo,23107.0,0
57,La Preciosa,24567.0,11439
58,Pro Hogar,24853.0,11450
59,San Salvador Xochimanca,42254.0,11481
60,Lázaro Cárdenas,35412.0,0
61,La Providencia,13333.0,11435
62,Santiago Ahuizotla,22094.0,11467
63,San Bernabé,35598.0,11477
64,Patrimonio Familiar,5543.0,11491
65,Victoria de las Democracias,21080.0,11474
66,Reynosa Tamaulipas,17440.0,11415
67,Estación Pantaco,26563.0,11446
68,San Mateo,21930.0,11442
69,San Rafael,38024.0,11373
70,Nueva España,30952.0,0
71,Jardín Azpeitia,15696.0,11447
72,Santa Catarina,41526.0,11419
73,Unidad Cuitlahuac,15110.0,0
74,Plenitud,7304.0,11471
75,La Raza,22498.0,11492
76,Ticoman,18394.0,0
77,Ignacio Allende,12519.0,11476
78,Trabajadores de Hierro,23807.0,0
79,Porvenir,17405.0,0
80,Santo Domingo,36667.0,11412
81,Santa Cruz Acayucan,5549.0,11470
82,Tierra Nueva,11438.0,11409
83,Potrero del Llano,12639.0,11456
84,Ferrería,32727.0,11421
