,colonia,precio por metro cuadrado,ID
0,Del Valle,50359,11500
1,Portales,45996,0
2,Napoles,54813,11542
3,Narvarte,48531,0
4,San José Insurgentes,58669,11545
5,Letrán Valle,50330,11533
6,Albert,42680,11524
7,Xoco,56093,11511
8,San Juan,43659,11538
9,Actipan,47320,11504
10,Santa Cruz Atoyac,60962,11508
11,San Pedro de los Pinos,46080,11540
12,Álamos,42888,11513
13,Santa Maria Nonoalco,45873,11535
14,Insurgentes Mixcoac,55248,11547
15,Zacahuitzco,44571,11523
16,World Trade Center Ciudad de México,49275,0
17,San Simón Ticumac,43039,11534
18,Nochebuena,55279,11537
19,Américas Unidas,32669,11529
20,Nativitas,45305,11518
21,Independencia,44005,11531
22,Del Carmen,49699,11522
23,Tlacoquemecatl,43314,11502
24,Ciudad de los Deportes,54325,11536
25,Merced Gómez,46980,11548
26,Niños Héroes,41478,11517
27,General Pedro Maria Anaya,44695,11512
28,Acacias,49569,11505
29,Mixcoac,44203,11546
30,Ermita,47075,11527
31,Josefa Ortiz de Domínguez,44601,11516
32,Villa de Cortes,43548,11521
33,Moderna,34179,11519
34,8 de Agosto,49920,11544
35,Postal,42054,11514
36,Delegación Política BJ,42494,0
37,Atenor Salas,43428,11494
38,Miguel Alemán,31757,11515
39,Extremadura Insurgentes,48749,11539
40,Insurgentes San Borja,62668,11499
41,Presidente Miguel Alemán,41154,11515
42,Delegación Pol,51587,0
43,Residencial Emperadores,39581,11510
44,Iztaccihuatl,46401,11520
45,Miravalle,35075,11526
