,colonia,precio por metro cuadrado,ID
0,Parque San Andrés,44630,11558
1,Cantil Del Pedregal,34656,11695
2,Del Carmen,52201,11559
3,Pedregal de San Francisco,42283,11593
4,Insurgentes Cuicuilco,40149,11664
5,Pedregal de Carrasco,48604,11690
6,San Diego Churubusco,40772,11565
7,Barrio San Lucas,41123,11556
8,Ajusco,35360,11579
9,Educación,28643,11642
10,Pedregal de Santa Ursula,37104,11668
11,Presidentes Ejidales 1a Sección,28083,11650
12,Espartaco,31841,11709
13,Churubusco Country Club,40738,11568
14,Romero de Terreros,37426,11584
15,Atlántida,41388,11633
16,Torres de Maurel,35971,11666
17,Barrio del Niño Jesús,56134,11612
18,Cafetales,24740,11727
19,Barrio Oxtopulco Universidad,56593,11586
20,Haciendas de,28547,11734
21,El Mirador,37702,11732
22,Jardines del Pedregal de San Ángel,40359,11663
23,Avante,28806,11648
24,Pedregal de Santo Domingo,36404,11629
25,Campestre Churubusco,24644,11567
26,El Caracol,36180,11698
27,Ex Hacienda Coapa,43048,0
28,Los Reyes,39328,11605
29,Los Cedros,25764,11700
30,Copilco El Alto,27070,11623
31,Barrio Santa Catarina,58347,11552
32,Pueblo La Candelaria,32166,11637
33,Ex-ejido Santa Ursula Coapa,28882,11735
34,San Francisco Culhuacán Barrio San Francisco,19986,11575
35,Pueblo de Santa Ursula Coapa,30907,11677
36,Paseos de Taxqueña,23743,11572
37,San Francisco Culhuacan Barrio Santa Ana,28354,0
38,Los Girasoles,24957,11723
39,Pueblo de los Reyes,36427,11605
40,Copilco Universidad,40051,11624
41,Barrio La Concepción,40626,11553
42,La Otra Banda,49278,0
43,Pedregal de Coyoacan,33760,11604
44,Xotepingo,35979,11669
45,Santa Cecilia,23237,11728
46,Viveros de Coyoacan,29830,11562
47,Prado Churubusco,32693,11570
48,Culhuacán CTM Sección VI,22514,11656
49,Ex-ejido San Francisco Culhuacán,26511,11651
50,Adolfo Ruiz Cortínes,33799,11673
51,Las Campanas,28400,11726
52,Presidentes Ejidales 2a Sección,31975,11650
53,El Parque de Coyoacan,44618,11712
54,Delegación Política Coyoacan,36339,0
55,Culhuacán CTM Sección IX-B,28125,11716
56,Pueblo de San Pablo Tepetlapa,43024,11670
57,Los Sauces,32963,11731
58,El Rosedal,34065,11609
59,Villa Coyoacán,61404,11551
60,Culhuacán CTM Sección VIII,23930,11715
61,Ciudad Jardín,41824,11634
62,El Reloj,47782,11674
63,Olímpica,30476,11691
64,Villa Quietud,34289,11733
65,Viejo Ejido de Santa Ursula Coapa,42010,11735
66,Culhuacán CTM Sección I,15205,0
67,El Rosario,53081,11635
68,Copilco,41947,0
69,Ex-ejido de San Pablo Tepetlapa,36235,11699
70,Rosedal,43804,11609
71,Bosques de Tetlameya,41732,11694
72,Los Fresnos,25079,11675
73,Culhuacán CTM Sección IX-A,22414,0
74,San Francisco Culhuacan Barrio San Juan,18533,0
75,Los Cipreses,29070,11705
76,Petrolera Taxqueña,32708,11644
77,Campestre,26041,11566
78,Fuentes de Coyoacan,120690,0
79,San Francisco Culhuacán,25584,11575
80,Cuadrante de San Francisco,30201,11591
81,Copilco El Bajo,54042,11616
82,Culhuacán CTM Sección VII,29675,11660
83,Culhuacán CTM CROC,30626,11659
84,Country Club,24615,11569
85,El Centinela,41905,11647
86,Villa Panamericana,39286,11687
87,Emiliano Zapata,27097,11703
88,Joyas del Pedregal,39893,11681
89,Jardines de Coyoacán,33929,11711
90,Pedregal Del Sur,70370,0
91,Taxqueña,2620,11573
92,Culhuacán CTM Sección X,25000,11730
93,Alianza Popular Revolucionaria,24417,11701
94,San Francisco Culhuacan Barrio La Magdalena,7390,11574
95,Emiliano Zapata Fraccionamiento Popular,16221,11721
96,Urbana Tlalpan Fovissste,21888,0
97,Prados de Coyoacán,35545,11702
98,Carmen Serdán,14667,11719
