,colonia,precio por metro cuadrado,ID
0,Santa Fe,59419,11779
1,Bosques de las Lomas,51491,11753
2,Manzanastitla,38579,11769
3,Lomas del Chamizal,47336,11755
4,Campestre Palo Alto,37468,11752
5,Lomas de Vista Hermosa,53527,11746
6,El Yaqui,51247,11776
7,San Mateo Tlaltenango,67570,11790
8,Contadero,50084,11787
9,Jesus Del Monte,33196,11767
10,Locaxco,49467,11781
11,Cooperativa Palo Alto,47473,11752
12,Delegación Política Cuajimalpa,48210,11737
13,Cuajimalpa,46910,11737
14,Lomas de Memetla,43109,11777
15,San Pedro,44170,11741
16,Granjas Navidad,34380,11751
17,Club de Golf Bosques,98850,11750
18,San José de los Cedros,31996,11762
19,Memetla,43223,11778
20,La Manzanita,26866,11736
21,Ampliación Memetla,46556,0
22,Prados de La Montaña,55171,0
23,Granjas de Palo Alto,43971,0
24,Cruz Manca,67140,0
25,Nueva Rosita,43864,0
26,Ampliación el Yaqui,42551,0
27,Las Tinajas,56476,11782
28,Cumbres Reforma,88000,11754
29,El Molino,47302,0
30,Adolfo López Mateos,32370,11770
31,Cruz Blanca,58947,11791
32,Rincón de las Lomas,40625,0
33,Santa Rosa Xochiac,32338,0
