,colonia,precio por metro cuadrado,ID
0,Juárez,71875,11818
1,Hipódromo,69412,11802
2,Roma Norte,68602,11819
3,Condesa,71750,11803
4,Roma Sur,63611,11822
5,Buenavista,40623,11812
6,San Rafael,57515,11816
7,Santa Maria La Ribera,46744,11813
8,Guerrero,33102,11811
9,Cuauhtémoc,81235,11817
10,Centro,52353,11800
11,Algarin,42322,11830
12,Doctores,34799,11820
13,Área 1,58629,0
14,Ampliación Asturias,41451,11827
15,Transito,38192,11825
16,Peralvillo,38849,11806
17,Felipe Pescador,32230,11810
18,National Schools,54167,0
19,Tabacalera,68742,11801
20,Obrera,35788,11824
21,Paulino Navarro,27966,11829
22,Morelos,36656,11805
23,Nonoalco Tlatelolco,22389,11832
24,Delegación Polí­tica Cuauhtemoc,53179,0
25,Atlampa,31027,11815
26,San Simón Tolnahuac,29775,11833
27,Asturias,44210,11827
28,Maza,44858,11809
29,Secretaria de Relaciones Exteriores,60000,0
30,Partido de La Revolución Democrática,52632,0
31,Ex-hipódromo de Peralvillo,36100,11808
32,Buenos Aires,36063,11823
33,Valle Gómez,32749,11807
34,Esperanza,46426,11826
35,Dirección General de Recaudación de La SHCP,48673,0
36,Centro Medico Siglo XXI,57458,0
37,Vista Alegre,67619,11828
