,colonia,precio por metro cuadrado,ID
0,Delegación Politica GAM,45240.0,0
1,Martín Carrera,31250.0,11845
2,Nueva Vallejo,34842.0,12025
3,Residencial Zacatenco,44653.0,0
4,Vallejo,26067.0,12055
5,Capultitlan,9762.0,11955
6,Santa Rosa,21587.0,11999
7,Guadalupe Victoria,36983.0,12032
8,La Purísima Ticomán,34266.0,11930
9,Aragón la Villa,31376.0,0
10,Lindavista Norte,38850.0,0
11,Granjas Modernas,18511.0,11974
12,Guadalupe Tepeyac,35651.0,12041
13,Ticoman,20560.0,11940
14,Villa,28783.0,0
15,Gertrudis Sánchez 1a Sección,35185.0,0
16,Barrio Candelaria Ticomán,25215.0,0
17,Tepeyac Insurgentes,26741.0,11839
18,Jorge Negrete,11202.0,11922
19,Dinamita,18478.0,0
20,Industrial,30219.0,12034
21,Lindavista Vallejo III Sección,35311.0,0
22,Vallejo Poniente,41381.0,12033
23,Lindavista Vallejo I Sección,35253.0,0
24,DM Nacional,24606.0,11966
25,San Juan de Aragón IV Sección,31855.0,0
26,Vasco de Quiroga,12888.0,11965
27,Lindavista Sur,39148.0,0
28,Bondojito,21198.0,12045
29,El Arbolillo,11339.0,11903
30,Cuautepec Barrio Alto,42281.0,0
31,Valle del Tepeyac,50000.0,12024
32,Triunfo de La Republica,24044.0,11844
33,La Patera Vallejo,25473.0,0
34,Planetario Lindavista,34107.0,12023
35,San Juan de Aragón,19008.0,12078
36,Campestre Aragón,31481.0,11985
37,Magdalena de las Salinas,41664.0,12027
38,Torres Lindavista,31914.0,12013
39,La Pradera 1a Sección,40566.0,0
40,Santiago Atzacoalco,32716.0,0
41,Constitución de La Republica,37753.0,11975
42,7 de Noviembre,37963.0,12044
43,La Laguna Ticomán,37269.0,11945
44,Acueducto de Guadalupe,16383.0,11916
45,San Bartolo Atepehuacan,26702.0,12021
46,25 de Julio,17308.0,11984
47,El Milagro,14177.0,11993
48,Juan de Dios Bátiz,25969.0,11952
49,Delegación Política,32694.0,0
50,Guadalupe Proletaria,24000.0,12003
51,Guadalupe Insurgentes,9896.0,12054
52,PEMEX Lindavista,24043.0,0
53,El Arbolillo II CROC,18269.0,11905
54,Nueva Industrial Vallejo,30606.0,0
55,Belisario Domínguez,11383.0,12053
56,La Esmeralda,21269.0,11986
57,San Pedro El Chico,28333.0,11978
58,San Miguel,13917.0,0
59,La Escalera,17231.0,11929
60,Santa Maria Ticoman,6864.0,11939
61,Tlacamaca,41000.0,11957
62,C.T.M. Atzacoalco,28877.0,0
63,Lindavista Vallejo II Sección,17515.0,0
64,Valle Gómez,29082.0,12042
65,José Maria Morelos y Pavón 1,19091.0,0
66,Nueva Atzacoalco,16098.0,11962
67,C.T.M. Aragón,12947.0,0
68,El Coyol,5934.0,0
69,El Olivo,6835.0,12067
70,Defensores de La Republica,38249.0,12031
71,San Juan de Aragón II Sección,25455.0,0
72,Estrella,20438.0,12035
73,Tres Estrellas,25238.0,12037
74,Residencial Acueducto de Guadalupe,30900.0,0
75,Emiliano Zapata,31800.0,12057
76,Escuadrón 201 Infonavit,9839.0,0
77,Arboledas,8788.0,0
78,Santiago Atepetlac,9067.0,12001
