,colonia,precio por metro cuadrado,ID
0,Agrícola Pantitlan,18924,12101
1,Zapotla,33311,12121
2,Viaducto Piedad,24228,12103
3,Agrícola Oriental,24026,12116
4,San Francisco Xicaltongo,35661,12106
5,Fraccionamiento Coyuya,30198,12111
6,Granjas México,30531,12112
7,Reforma Iztaccihuatl Norte,17095,12140
8,Ampliación Gabriel Ramos Millán,22953,12097
9,San Pedro,18143,12105
10,Los Reyes,37733,12127
11,Jardines Tecma,344,12148
12,Santa Anita,19024,12109
13,Reforma Iztaccihuatl Sur,21782,12145
14,Juventino Rosas,15259,12130
15,Militar Marte,30949,12144
16,Gabriel Ramos Millán,17056,12132
17,Agua Caliente,17778,12102
18,Delegación Politica Iztacalco,9251,0
19,Santiago Norte,35309,12107
20,La Cruz,18215,12110
21,Tlazintla,24751,12131
22,Delegación Política,27288,0
23,INFONAVIT,18415,12146
24,INPI Picos,14844,12136
25,Campamento 2 de Octubre,14605,12151
26,Cuchilla Agrícola Oriental,15185,12114
27,Gabriel Ramos Millán Sección Cuchilla,16102,12098
28,Los Picos de Iztacalco,11527,12137
29,Ex-ejido de La Magdalena Mixiuhca,19617,12096
30,Nueva Santa Anita,20000,12104
31,Gabriel Ramos Millán Sección Tlacotal,30751,12133
32,Santiago,15203,12143
33,5 de Diciembre Fovissste,27597,12122
34,Gabriel Ramos Millán Sección Bramadero,16071,12095
35,Santiago Sur,20423,12141
