,colonia,precio por metro cuadrado,ID
0,San Pablo,29167.0,0
1,Mixcoatl,11861.0,12300
2,Leyes de Reforma 3a Sección,22073.0,0
3,Consejo Agrarista Mexicano,11196.0,0
4,San Miguel,25841.0,0
5,San Andrés Tetepilco,29656.0,12241
6,El Retoño,25093.0,0
7,Cedros,11667.0,0
8,La Norma FOVISSSTE,22321.0,0
9,Cerro de La Estrella,18582.0,12368
10,El Santuario,17322.0,12339
11,Tepalcates,17617.0,12183
12,Hacienda las Flores,17021.0,0
13,Ampliación Sinatel,31429.0,0
14,Santa Martha Acatitla,11214.0,0
15,Lomas de San Lorenzo,27000.0,12316
16,Lomas El Manto,24486.0,12344
17,Año de Juárez,22312.0,12315
18,Sector Popular,34901.0,12164
19,Guadalupe Del Moral,23636.0,12204
20,Santa Martha Acatitla Sur,12773.0,0
21,Alborada,12176.0,0
22,Guelatao Benito Juárez,17910.0,12189
23,Lomas Estrella,24212.0,12388
24,Paseos de Churubusco,31789.0,0
25,Constitución de 1917,28021.0,12200
26,San Pedro,29479.0,0
27,Santa María Aztahuacan,18333.0,12250
28,San Juan Estrella,18185.0,12376
29,Cuchilla del Moral,27760.0,0
30,Chinampac de Juarez,13319.0,12181
31,Granjas San Antonio,21987.0,12165
32,Magdalena Atlazolpa,29306.0,12229
33,El Sifón,26553.0,0
34,San Nicolás Tolentino,8745.0,12358
35,San Lorenzo Tezonco,21052.0,12352
36,Ejercito de Agua Prieta,10031.0,0
37,Presidentes de México,11744.0,12307
38,San Juan Xalpa,13698.0,12361
39,Unidad Ejército Constitucionalista,12470.0,0
40,Granjas Estrella,13380.0,12384
41,Cabeza de Juárez,10583.0,0
42,Paraje San Juan,25760.0,12346
43,Los Ángeles Apanoaya,15220.0,12302
44,Banjidal,64312.0,12245
45,El Prado,34235.0,12249
46,El Paraíso,13069.0,12192
47,San Sebastián Tecoloxtitlan,21480.0,0
48,Paraje San Juan Cerro,16176.0,12365
49,El Manto,17358.0,12348
50,Prados,20423.0,0
51,José Maria Morelos y Pavón,18353.0,12190
52,Leyes de Reforma 1a Sección,20704.0,0
53,Ejercito de Oriente,3606.0,0
54,Héroes de Churubusco,20704.0,12169
55,Rinconada Estrella,19941.0,0
56,Zacahuitzco,28507.0,12242
57,Solidaridad,5256.0,12177
58,El Vergel,8612.0,0
59,El Gavilán,22807.0,0
60,El Mirador,18779.0,12318
61,Los Ángeles,12674.0,12345
62,Leyes de Reforma 2a Sección,23286.0,0
63,Desarrollo Urbano Quetzalcoatl,11860.0,12292
64,San Lorenzo,25000.0,0
65,Jacarandas,11224.0,12202
66,Real del Moral,32438.0,12159
67,Jardines de Churubusco,20423.0,12228
68,Bellavista,20259.0,0
69,San Lorenzo Xicotencatl,23869.0,12174
70,Las Américas,16366.0,0
71,Colonial,20000.0,0
72,La Magueyera,17857.0,0
73,Pueblo Culhuacán,38875.0,12322
74,Casa Blanca,18462.0,12375
75,Xopa,19833.0,0
76,Santa Martha Acatitla Norte,17021.0,0
77,Delegación Política,16471.0,0
78,Juan Escutia,16167.0,12171
79,Reforma Política,5909.0,12305
80,San José Aculco,7046.0,12230
81,San Juanico Nextipac,6429.0,12224
82,Las Peñas,8231.0,0
