,colonia,precio por metro cuadrado,ID
0,San Jerónimo Aculco,39628,12430
1,Lomas Quebradas,32438,12405
2,San Jerónimo Lí­dice,37913,12415
3,Barrio San Francisco,30537,12431
4,El Toro,27836,12434
5,El Maestro,36638,0
6,Pedregal 2,38743,12414
7,Barranca Seca,27347,12432
8,San Nicolás Totolapan,20073,12449
9,Pueblo Nuevo Bajo,32325,12436
10,Unidad Independencia IMSS,31598,12410
11,Héroes de Padierna,31000,12441
12,La Malinche,10000,12406
13,San Francisco,26815,12431
14,Barros Sierra,28794,12429
15,La Carbonera,17442,12437
16,La Magdalena Contreras,23517,12450
17,Vista Hermosa,11628,12428
18,Santa Teresa,32897,12442
19,San Bernabé Ocotepec,18537,12416
20,Cuauhtémoc,27301,12408
21,Plazuela del Pedregal,25446,12447
22,Pueblo Nuevo Alto,26773,12438
23,La Cruz,15649,12444
24,Palmas,22538,12426
25,Delegación Polí­tica MC,27186,0
26,Huayatla,21135,12423
27,El Rosal,10526,12433
28,Lomas de San Bernabé,10730,12421
29,Los Padres,12965,12420
30,Ampliación Lomas de San Bernabé,34942,12421
31,El Tanque,10588,12418
