,colonia,precio por metro cuadrado,ID
0,Ampliación Granada,75952,12516
1,Bosques de las Lomas,50937,12530
2,Anahuac I Sección,52640,12481
3,Lomas de Chapultepec,61524,12455
4,Delegación Polí­tica MH,66860,0
5,Escandón I Sección,48671,12531
6,Polanco Chapultepec,90403,12522
7,Granada,71395,12516
8,Anzures,53940,12526
9,Bosque de Chapultepec I Sección,124231,12458
10,Tacuba,35989,12490
11,Lomas de Bezares,49090,12539
12,Escandón II Sección,47789,0
13,Francisco I Madero,55083,12508
14,Lomas de Reforma,71716,12540
15,Los Manzanos,43402,12502
16,San Lorenzo Tlaltenango,37666,12465
17,Anahuac II Sección,48063,0
18,Observatorio,37436,12537
19,Mariano Escobedo,34774,12480
20,Veronica Anzures,41689,12479
21,5 de Mayo,36000,12506
22,Lomas Hermosa,33034,12463
23,Torre Blanca,29263,12475
24,Tacubaya,33427,12538
25,Lomas de Sotelo,39718,12464
26,Cuauhtémoc Pensil,41583,12511
27,Argentina Poniente,35427,0
28,San Joaquín,38631,12473
29,Chapultepec Morales,66467,12525
30,Tlaxpana,27864,12488
31,Lomas - Virreyes,68750,12452
32,Lomas Altas,85103,12454
33,Popotla,36513,12489
34,Periodista,55648,12467
35,Petróleos Mexicanos,76364,0
36,Irrigación,48907,12513
37,Legaria,30926,12492
38,Pensil Norte,31877,12494
39,Reforma Social,56775,12529
40,Lago Sur,38673,12501
41,San Juanico,30690,12497
42,Huíchapan,34722,12477
43,Pensil Sur,36538,12512
44,Ventura Pérez de Alba,24123,12495
45,Ampliación Daniel Garza,50769,12535
46,San Diego Ocoyoacac,4444,12478
47,San Miguel Chapultepec,43278,12536
48,Daniel Garza,35833,12534
49,México Tacuba,45763,12490
50,Dos Lagos,38930,12503
51,Argentina Antigua,37658,12474
52,Ahuehuetes Anahuac,43486,12499
