,colonia,precio por metro cuadrado,ID
0,Fuentes del Pedregal,57210,12724
1,Parque del Pedregal,43205,12693
2,Lomas del Pedregal,60893,12734
3,Jardines en la Montaña,47465,12732
4,Ampliación Fuentes del Pedregal,88316,0
5,Arenal Tepepan,34042,12876
6,Arenal de Guadalupe,46634,12809
7,San Pedro Mártir,21032,12887
8,Miguel Hidalgo,20565,12685
9,Granjas Coapa,31493,12774
10,Fuentes de Tepepan,31007,12885
11,Prado Coapa 3A Sección,29904,12790
12,Ex Hacienda San Juan de Dios,28832,12807
13,Club de Golf México,31233,12877
14,Faroles del Pedregal,42317,12694
15,Colinas del Bosque,34997,12874
16,Pedregal de San Nicolás 4A Sección,27268,12714
17,Los Volcanes,23161,12850
18,Gabriel Ramos Millán,35533,12765
19,Miguel Hidalgo 1A Sección,29502,12741
20,Héroes de Padierna,23302,12730
21,San Miguel Ajusco,13674,12893
22,Miguel Hidalgo 2A Sección,24352,12742
23,Jardines del Ajusco,24722,12727
24,Valle de Tepepan,31463,12884
25,Toriello Guerra,34939,12702
26,Miguel Hidalgo 3A Sección,25843,12743
27,Residencial Acoxpa,28271,12755
28,Residencial Villa Coapa,29417,12788
29,Fuentes Brotantes,28862,12828
30,Rinconada Coapa 1A Sección,28924,12772
31,Tlalpuente,28358,12854
32,Santa Úrsula Xitla,37402,12831
33,Bosques del Pedregal,50278,12908
34,Chimilli,18686,12913
35,San Bartolo El Chico,22537,12803
36,Ex Hacienda Coapa,29427,0
37,Rinconada Las Hadas,41027,12821
38,Valle Escondido,29214,12873
39,Pedregal de San Nicolás,24119,12717
40,La Primavera,32702,12750
41,Chimalli,19797,0
42,San Lorenzo Huipulco,42249,12795
43,La Joya,35756,12711
44,Torres de Padierna,33963,12731
45,Delegación Polí­tica Tlalpan,30480,0
46,Pueblo Quieto,30054,12700
47,Parres El Guarda,2623,12915
48,Chimalcoyotl,34361,12880
49,Nueva Oriental Coapa,34891,12756
50,Barrio El Capulí­n,26412,12688
51,Las Tórtolas,36961,12875
52,Narciso Mendoza,31397,12811
53,Tlalcoligia,30248,12848
54,Pedregal de Santa Úrsula Xitla,29883,12830
55,Isidro Fabela,28259,12697
56,PEMEX,29369,12723
57,ISSFAM,30000,12878
58,San Miguel Xicalco,10486,12857
59,San Miguel Topilejo,8111,12865
60,Villa Coapa,28545,12819
61,Barrio del Niño Jesús,26858,12709
62,Cuchilla de Padierna,17578,12733
63,Pedregal de San Nicolás 2A Sección,19724,12718
64,Barrio La Fama,34598,12749
65,Lomas del Pedregal Framboyanes,55128,12725
66,Tlalpan,35018,12686
67,Villa Cuemanco,61111,12794
68,San Andrés Totoltepec,19556,12823
69,Mirador I,18492,12851
70,Lomas Hidalgo,17749,12740
71,San Buenaventura,25312,12879
72,Santo Tomas Ajusco,9405,12901
73,Villa Lázaro Cárdenas,23833,12796
74,Lomas de Padierna,25560,12728
75,Miguel Hidalgo 4A Sección,20536,12744
76,Cruz del Farol,24947,12738
77,San Pedro Apóstol,24387,12706
78,Arboledas del Sur,30568,12799
79,Verano,33114,12753
80,Pedregal de San Nicolás 3A Sección,25851,12713
81,Guadalupe,35449,12808
82,Rincón del Pedregal,38234,12721
83,Residencial Hacienda Coapa,30952,12773
84,Pedregal del Lago,34790,12720
85,Mirador del Valle,20024,12890
86,Rinconada Coapa 2A Sección,19419,12766
87,Nuevo Renacimiento de Axalco,14750,12825
88,Magisterial Coapa,25794,12793
89,Tenorios,34000,12771
90,Ejidos de San Pedro Mártir,16403,12883
91,El Mirador 3A Sección,16154,12853
92,Pedregal de las Águilas,13429,12849
93,Villa del Puente,33333,12777
94,Chichicaspatl,15123,12719
95,Pedregal de San Nicolás 1A Sección,24036,12717
96,Belisario Domí­nguez,24181,12710
97,Parque Nacional Bosque del Pedregal,37037,12692
98,Prado Coapa 2A Sección,33309,12789
99,Paraje 38,10333,12752
100,Zacayucan Peña Pobre,46009,0
101,La Magdalena Petlacalco,32229,12856
102,San Nicolás 2,19198,12906
103,Residencial Insurgentes,9822,12846
104,Insurgentes Cuicuilco,35542,12695
105,Vergel de Coyoacán,21271,12786
106,Vergel del Sur,26000,12783
107,Héroes de 1910,2410,0
108,Lomas de Padierna Sur,18496,12910
109,Residencial Villa Prado Coapa,21345,12791
110,Popular Santa Teresa,15009,12726
111,Viveros Coatectlán,9534,0
112,Peña Pobre,37452,12705
113,Hacienda de San Juan,11702,12800
114,San Juan Tepeximilpa,10400,12839
115,Cantera Puente de Piedra,13355,12699
116,Prado Coapa 1A Sección,30862,12787
117,H Colegio Militar Niños Héroes de Chapultepec,29722,0
118,Barrio La Lonja,14735,12748
119,El Mirador 1A Sección,11143,12911
120,Rancho los Colorines,22642,12806
121,Colinas del Ajusco,23992,12727
122,Residencial Pedregal Picacho,34257,0
123,Rómulo Sanchez Mireles,14473,12708
124,Mesa de los Hornos,9606,12829
