,colonia,precio por metro cuadrado,ID
0,Zaragoza Bahía,25385,12980
1,General Ignacio Zaragoza,26803,12916
2,Valle Gómez,25159,12924
3,Romero Rubio,30343,12950
4,Jamaica,33318,12985
5,Jardín Balbuena,27933,12994
6,Zona Centro,14953,12920
7,Popular Rastro,16507,12926
8,Merced Balbuena,40641,12986
9,Peñón de los Baños,17900,12960
10,Pensador Mexicano,29135,12959
11,Moctezuma 1a Sección,23655,12958
12,Santa Cruz Aviación,35730,12962
13,Aviación Civil,24155,12983
14,Magdalena Mixiuhca,24062,12990
15,Moctezuma 2a Sección,26166,12961
16,Ampliación Aviación Civil,31834,12984
17,Arenal 4a Sección,12169,12972
18,Morelos,18891,12931
19,5o Tramo 20 de Noviembre,26295,12938
20,Artes Graficas,28822,12988
21,20 de Noviembre,15464,12936
22,Nicolás Bravo,17488,12925
23,4 Árboles,23250,12981
24,Emilio Carranza,14945,12927
25,Arenal 1a Sección,16403,12963
26,Lorenzo Boturini,27085,12987
27,Ampliación Penitenciaria,16562,12944
28,Federal,39495,12979
29,Aquiles Serdán,22933,12953
30,Cuchilla Pantitlan,12261,12966
31,Valentín Gómez Farias,28075,12918
32,Álvaro Obregón,30261,13002
33,Revolución,23768,12956
34,Puebla,22311,12919
35,10 de Mayo,14473,12934
36,Venustiano Carranza,30717,12943
37,Adolfo López Mateos,25521,12976
38,Penitenciaria,13265,12933
39,Delegación Política,19930,0
40,Sevilla,42022,12989
41,Azteca,18778,12940
42,Ampliación Michoacana,4144,12929
43,Plomeros,31667,0
44,Aeronáutica Militar,37143,13000
45,Felipe Ángeles,18895,12939
46,Ampliación Venustiano Carranza,20423,12942
47,Escuela de Tiro,14451,12947
48,Simón Bolívar,23000,12951
